ID,location_no,wind_dir,lat,lon,date,time,topo,type,replicate,distance_kf
1,1,255,60.59,7.52,15/11/2022,11:07,flat,F,1,5.75
2,1,255,60.59,7.52,15/11/2022,11:07,flat,E,1,80
3,1,255,60.59,7.52,15/11/2022,11:09,flat,F,2,11.5
4,1,255,60.59,7.52,15/11/2022,11:09,flat,E,2,14.5
5,2,270,60.59,7.52,15/11/2022,11:14,"gentle slope, meadow",E,1,4.5
6,2,270,60.59,7.52,15/11/2022,11:14,"gentle slope, meadow",F,1,10.5
7,2,270,60.59,7.52,15/11/2022,11:14,"gentle slope, meadow",E,2,18
8,2,270,60.59,7.52,15/11/2022,11:14,"gentle slope, meadow",F,2,3
9,3,310,60.50,7.53,15/11/2022,11:17,exposed ridge,F,1,9
10,3,310,60.50,7.53,15/11/2022,11:17,exposed ridge,E,1,21
11,3,310,60.50,7.53,15/11/2022,11:17,exposed ridge,F,2,54
12,3,310,60.50,7.53,15/11/2022,11:17,exposed ridge,E,2,2
13,4,315,60.59,7.53,15/11/2022,11:22,exposed ridge,E,1,16
14,4,315,60.59,7.53,15/11/2022,11:22,exposed ridge,F,1,9
15,4,315,60.59,7.53,15/11/2022,11:22,exposed ridge,E,2,10
16,4,315,60.59,7.53,15/11/2022,11:22,exposed ridge,F,2,24.5
17,5,305,60.59,7.53,15/11/2022,11:26,slight depression,E,1,8.5
18,5,305,60.59,7.53,15/11/2022,11:26,slight depression,F,1,4
19,5,305,60.59,7.53,15/11/2022,11:26,slight depression,E,2,17
20,5,305,60.59,7.53,15/11/2022,11:26,slight depression,F,2,7
21,6,295,60.59,7.53,15/11/2022,11:30,flat,E,1,4.75
22,6,295,60.59,7.53,15/11/2022,11:30,flat,F,1,8
23,6,295,60.59,7.53,15/11/2022,11:30,flat,E,2,6
24,6,295,60.59,7.53,15/11/2022,11:30,flat,F,2,0
25,7,220,60.59,7.52,15/11/2022,11:34,"flat, lee",F,1,7.5
26,7,220,60.59,7.52,15/11/2022,11:34,"flat, lee",E,1,17
27,7,220,60.59,7.52,15/11/2022,11:34,"flat, lee",F,2,16
28,7,220,60.59,7.52,15/11/2022,11:34,"flat, lee",E,2,17
